image_id,class_name,label,image_path,liver_mask_path,spleen_mask_path,height,width,image_mean,image_std,image_p01,image_p99,liver_px,spleen_px,union_px,overlap_px,liver_frac,spleen_frac,union_frac,liver_mean,spleen_mean,liver_std,spleen_std,mean_ratio,mean_diff,liver_bbox_h,liver_bbox_w,spleen_bbox_h,spleen_bbox_w,liver_touches_border,spleen_touches_border,union_touches_border,liver_center_x,spleen_center_x,liver_left_of_spleen,flag_small_liver,flag_large_liver,flag_small_spleen,flag_large_spleen,flag_low_img_mean,flag_high_img_mean,flag_low_img_std,flag_high_img_std,flag_low_liver_mean,flag_high_liver_mean,flag_low_spleen_mean,flag_high_spleen_mean,flag_low_mean_ratio,flag_high_mean_ratio,flag_mask_overlap,flag_liver_border,flag_spleen_border,flag_bad_left_right_geometry,flag_count,review_priority,flag_summary
1,normal,0,data/images/normal/1.PNG,data/masks_liver/normal/1.PNG,data/masks_spleen/normal/1.PNG,708,954,90.09544410096058,93.35345026611023,0.0,255.0,120237,29085,149322,0,0.17801495931492733,0.04306132963792062,0.22107628895284795,201.3047813900879,198.33212996389892,19.358698099443966,19.693949913944458,1.014988244273592,2.9726514261889747,409,567,273,189,0,0,0,322.8678027562231,722.8404675949803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
1 (2),normal,0,data/images/normal/1 (2).PNG,data/masks_liver/normal/1 (2).PNG,data/masks_spleen/normal/1 (2).PNG,683,906,83.25028038228953,92.7529417095244,0.0,255.0,114382,20795,135177,0,0.18484545845332404,0.03360547383798913,0.21845093229131315,185.7307443478869,192.05212791536428,18.81014508585692,21.14640284138338,0.9670850586078994,-6.321383567477369,431,457,195,203,0,0,0,330.38383661764965,673.8353450348642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
10,normal,0,data/images/normal/10.PNG,data/masks_liver/normal/10.PNG,data/masks_spleen/normal/10.PNG,781,885,86.16729385041631,91.6734882173881,0.0,255.0,145176,35246,180422,0,0.2100392803663274,0.05099358348343786,0.26103286384976526,177.68058081225547,205.66983487487943,18.863359933311795,16.8963572522882,0.8639117158645889,-27.989254062623957,464,586,301,235,0,0,0,307.7294111974431,651.4020314361914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
100,normal,0,data/images/normal/100.PNG,data/masks_liver/normal/100.PNG,data/masks_spleen/normal/100.PNG,726,922,86.62672773883581,89.73576474338,0.0,255.0,147900,39727,187627,0,0.2209533712195909,0.0593496590834394,0.2803030303030303,183.2953752535497,184.3343569864324,19.43607093852056,22.105757820370656,0.9943635969754528,-1.0389817328826894,469,552,306,241,0,0,0,302.9245368492224,688.5478641729806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
101,normal,0,data/images/normal/101.PNG,data/masks_liver/normal/101.PNG,data/masks_spleen/normal/101.PNG,612,677,108.19346212143154,90.4373376270981,0.0,255.0,97431,15040,112471,0,0.23515654415385062,0.036300093646518185,0.27145663780036877,200.5081134341226,193.3401595744681,17.791601784829844,23.88322898123871,1.0370743090227943,7.167953859654517,399,388,137,180,0,0,0,243.75935790456836,561.1883643617022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
102,normal,0,data/images/normal/102.PNG,data/masks_liver/normal/102.PNG,data/masks_spleen/normal/102.PNG,659,777,105.14371839865011,85.68569445716909,0.0,254.0,124723,33269,157992,0,0.24357915253211157,0.06497305890325618,0.3085522114353677,185.35955677781965,188.18133998617333,19.380927845108907,21.42122794002172,0.9850049734284707,-2.821783208353679,442,566,278,243,0,0,0,261.70553145771026,608.2351137695753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
103,normal,0,data/images/normal/103.PNG,data/masks_liver/normal/103.PNG,data/masks_spleen/normal/103.PNG,769,871,73.10214706202906,84.52315547991248,0.0,255.0,133722,16012,149734,0,0.19964496811730087,0.0239056791664365,0.22355064728373736,182.0324778271339,182.7096552585561,17.962468484789895,32.540239301911946,0.9962936910654361,-0.6771774314221943,493,472,128,213,0,0,0,314.4277157087091,624.0249812640519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
104,normal,0,data/images/normal/104.PNG,data/masks_liver/normal/104.PNG,data/masks_spleen/normal/104.PNG,729,1007,64.96287850614968,83.42761763598621,0.0,255.0,115978,19664,135642,0,0.15798600468871535,0.026786431876725747,0.1847724365654411,168.6179878942558,180.46923311635476,14.8225549046624,31.535251712832586,0.9343309330250826,-11.851245222098953,410,467,148,215,0,0,0,377.20838434875577,706.9895240032547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
105,normal,0,data/images/normal/105.PNG,data/masks_liver/normal/105.PNG,data/masks_spleen/normal/105.PNG,879,899,96.94021672418222,90.2922280884693,0.0,255.0,167102,15292,182394,0,0.2114623630604603,0.019351548490865213,0.23081391155132552,188.88571052411103,196.98522103060424,20.82373663495815,31.53374753886199,0.9588826439719684,-8.099510506493203,595,472,170,169,0,0,0,270.90756543907315,699.4053099659953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
106,normal,0,data/images/normal/106.PNG,data/masks_liver/normal/106.PNG,data/masks_spleen/normal/106.PNG,809,1056,85.71511078023748,94.82833007473647,0.0,255.0,170326,29874,200200,0,0.19937399333258418,0.03496881672097989,0.23434281005356408,189.66761386987307,202.73990761197027,16.91401419429172,23.62591249280178,0.9355218475158897,-13.072293742097202,459,638,231,203,0,0,0,393.7999483343706,769.8466894289348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clean,none
