image_id,class_name,label,image_path,liver_mask_path,spleen_mask_path
1,normal,0,data/images/normal/1.PNG,data/masks_liver/normal/1.PNG,data/masks_spleen/normal/1.PNG
1 (2),normal,0,data/images/normal/1 (2).PNG,data/masks_liver/normal/1 (2).PNG,data/masks_spleen/normal/1 (2).PNG
10,normal,0,data/images/normal/10.PNG,data/masks_liver/normal/10.PNG,data/masks_spleen/normal/10.PNG
100,normal,0,data/images/normal/100.PNG,data/masks_liver/normal/100.PNG,data/masks_spleen/normal/100.PNG
101,normal,0,data/images/normal/101.PNG,data/masks_liver/normal/101.PNG,data/masks_spleen/normal/101.PNG
102,normal,0,data/images/normal/102.PNG,data/masks_liver/normal/102.PNG,data/masks_spleen/normal/102.PNG
103,normal,0,data/images/normal/103.PNG,data/masks_liver/normal/103.PNG,data/masks_spleen/normal/103.PNG
104,normal,0,data/images/normal/104.PNG,data/masks_liver/normal/104.PNG,data/masks_spleen/normal/104.PNG
105,normal,0,data/images/normal/105.PNG,data/masks_liver/normal/105.PNG,data/masks_spleen/normal/105.PNG
106,normal,0,data/images/normal/106.PNG,data/masks_liver/normal/106.PNG,data/masks_spleen/normal/106.PNG
107,normal,0,data/images/normal/107.PNG,data/masks_liver/normal/107.PNG,data/masks_spleen/normal/107.PNG
108,normal,0,data/images/normal/108.PNG,data/masks_liver/normal/108.PNG,data/masks_spleen/normal/108.PNG
109,normal,0,data/images/normal/109.PNG,data/masks_liver/normal/109.PNG,data/masks_spleen/normal/109.PNG
11,normal,0,data/images/normal/11.PNG,data/masks_liver/normal/11.PNG,data/masks_spleen/normal/11.PNG
110,normal,0,data/images/normal/110.PNG,data/masks_liver/normal/110.PNG,data/masks_spleen/normal/110.PNG
111,normal,0,data/images/normal/111.PNG,data/masks_liver/normal/111.PNG,data/masks_spleen/normal/111.PNG
112,normal,0,data/images/normal/112.PNG,data/masks_liver/normal/112.PNG,data/masks_spleen/normal/112.PNG
113,normal,0,data/images/normal/113.PNG,data/masks_liver/normal/113.PNG,data/masks_spleen/normal/113.PNG
114,normal,0,data/images/normal/114.PNG,data/masks_liver/normal/114.PNG,data/masks_spleen/normal/114.PNG
